Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($)
Gippsland offshore wind,272.868948774842,38.175480024986825,139.280803002614,83403205.24758765,268.8258025707902,81710554.98928788,1692650.2582997745
Hazelwood North Solar Farm,271.2822282913205,53.639623727465725,101.6689450181728,87139152.32401164,280.8675336793284,76615751.93446356,10523400.389548078
Glenrowan solar farm,325.21777143225637,67.48311802077356,105.38840076110277,98846789.35171843,318.60367236653804,88661009.43108948,10185779.920628948
Hawkesdale wind farm,267.2008571468039,67.4726571532775,121.83227881391265,87217521.73229352,281.1201345118244,85112756.11094856,2104765.6213449477
Mortlake Energy Hub,254.12269407380006,71.82945810584344,110.24172293073319,91273220.51114602,294.19249157500735,81766006.62745671,9507213.883689309
Golden Plains Wind Farm,236.705916889106,84.45301399097548,95.33759642651904,86734413.13716577,279.56297546225875,79419505.99290162,7314907.144264143
Elaine Solar Farm,243.55992914402,74.46862031970883,85.45474809438002,84504553.27631676,272.37567534670995,74964900.94918823,9539652.327128531
Warracknabeal Energy Park (proposed),295.09806409333424,33.769913099559595,91.4396895834161,83120388.7122096,267.91422630849183,71442438.18162481,11677950.530584782
Murra Warra Solar Farm (proposed),285.15940612500833,49.18049765862479,90.85835993937863,84942924.15320912,273.78863546562167,74457331.94441305,10485592.208796062
Gannawarra Solar Farm,330.601603312211,25.862880110586357,99.93507867001742,87242296.71827634,281.199989422325,75942402.32937574,11299894.388900595
Meering West Wind Farm,342.76623577100685,25.34384866340234,105.10928977898006,88031930.52585258,283.74514271024196,78683225.22270352,9348705.303149061
Coopers Gap ,236.74461194562218,14.674486444200165,109.85806450758281,71855886.10456833,231.60640162632822,62807434.686476484,9048451.41809185
Dulacca Wind Farm,282.26747902109264,24.259957772151594,93.30593676334165,77033698.86533782,248.29556443299862,67459629.76053764,9574069.10480018
Mount Emerald Wind Farm,304.1712140015733,22.149612797120334,70.42411448542342,73555775.84762001,237.08549830014508,64032277.76481767,9523498.082802344
Kaban,301.00463608300834,23.963672056681137,70.05384932200518,66659017.46124718,214.855817763891,64048987.92207754,2610029.539169648
Sample data,234.44137618550914,20.518930443831238,106.65980497167214,65758973.65436294,211.95479018328103,63402075.61601078,2356898.0383521635
Kennedy Energy Park Stage 1,187.25466785533666,31.812216563818136,72.80682166751232,56637176.71983258,182.5533496207335,52027915.93910863,4609260.780723947
Western Downs Green Power Hub,279.11057012821584,15.067274678437142,108.40071952432477,75123049.17189702,242.13714479257703,68138609.94639485,6984439.225502178
Daydream Solar Farm,238.17308804808803,27.472002673025095,78.58177731264027,62753424.24332822,202.26728200911595,58914873.158799626,3838551.0845285943
Kidston Solar Project KS1,208.11147714505032,24.032254950209076,75.16243689203853,54195481.61666051,174.6832606499936,53105911.331416525,1089570.2852439869
Emerald Solar Farm,231.4122336417258,15.03318149269884,83.3688727605506,57332790.12239892,184.79545567251867,55609895.6460852,1722894.4763137156
Ross River Solar Farm ,245.30851416402044,36.714394522100015,70.1292533559104,62632947.15041952,201.87895938894286,60429117.60334452,2203829.547074998
Childers Solar Farm,256.3858335461354,15.200691056255115,96.79881826234153,67737228.98036811,218.3311167779794,62293699.96859669,5443529.01177142
Haughton Solar Farm,233.0770832923568,33.972902743062164,73.07664106218441,60941259.451868,196.42629960312004,58757312.41150567,2183947.0403623274
Cattle Hill Wind Farm ,249.45428116784595,37.68487266836373,139.01366539208112,80275998.44625932,258.7461674335514,78417614.25169086,1858384.1945684522
Granville Harbour Wind Farm,234.06802337350464,77.34619856916773,143.87972493873713,103624678.82424945,334.00379959467995,89104371.56156276,14520307.262686681
"Huxley Wind Farm, King Island",258.17794141794263,46.01977111163665,138.25172774960956,86299911.51060443,278.16248673845104,81793835.71072362,4506075.799880807
Musselroe Wind Farm,225.76508447929083,33.58355254461426,139.74401529000258,77375761.36142392,249.39810269596754,74289967.9740198,3085793.3874041224
Studland Bay Wind Farm ,283.88422907144025,41.99234465724986,100.01577959695783,79306056.3157536,255.61984308059175,74486288.98860894,4819767.327144649
Sample data,224.08215552003546,45.367226823714226,118.67272071154068,80437479.42748548,259.2666540773102,72235927.28915264,8201552.1383328475
Northern Midland Solar Farm,302.1717376769383,36.273867336548115,114.07131098228389,85266023.0428488,274.83005009782045,78738430.1231663,6527592.919682502
Weasel Solar Farm ,248.10370970193142,50.205716438530814,101.56736521449173,78224398.72414304,252.13343666121852,72541652.96020433,5682745.763938711
Bell Bay Solar Farm,279.66762924765567,36.602211814459054,129.2186391598627,85164396.45023598,274.502486543871,79643076.34150064,5521320.108735334
King Island Solar Farm  ,258.17794141794263,46.01977111163665,138.25172774960956,86299911.51060443,278.16248673845104,81793835.71072362,4506075.799880807
Woakwine Wind farm,259.0407591699362,80.04808558727889,118.92068562556197,90478067.05664012,291.6295473219665,86959236.23109181,3518830.8255483136
Robertstown Solar Project,283.2985532072901,23.534260072185972,75.04090371749469,65987789.48731494,212.69231099859772,62834677.23955104,3153112.2477638996
Goyder South Hybrid Renewable Power Station,281.38101325021535,22.702930896892074,77.55020749170879,63949943.79040649,206.12391229784524,62966168.66600044,983775.1244060465
Cleve Wind Farm,275.2479191860103,37.154431368810855,83.66402798667919,70557759.5363586,227.42227086658693,67872149.56278114,2685609.973577452
Yoorndoo Ilga Solar,216.55671094696268,40.48964153023148,77.22231312310655,62405831.77214608,201.14691949120413,59503837.651386544,2901994.120759539
Bodangora Wind Farm ,258.0874506135895,31.02506886660091,123.72308660869453,76542273.86414528,246.71159988443281,73814216.72829212,2728057.135853155
Sapphire Wind Farm,214.42630300753655,42.592124939480506,96.1900316536203,66954465.337628886,215.80810745408183,64558292.02686929,2396173.3107595975
Metz Solar Farm ,231.4755572457834,47.63738661668634,107.43903550401109,74410760.6082045,239.8412912432055,71069456.02831486,3341304.579889645
Bullawah Wind Farm,305.57670875812505,36.420058208928296,119.13686637342612,89780018.28940581,289.3795915855143,80491286.66621529,9288731.623190528
Sunraysia Solar Farm,289.78452761155694,40.60711087349973,97.55535706113913,87029883.42011914,280.51533737347023,74248807.69013777,12781075.729981363
Hunter Coast Offshore Wind Project (proposed) ,319.2037724393559,29.16212634304702,100.25303362058177,87623525.27814351,282.4287680198018,75477046.64629437,12146478.631849144
Muswellbrook Solar Farm ,375.1427289832366,22.337434418247533,114.55469564297776,99549678.175553,320.86922860774536,84429076.2612541,15120601.914298888
Wollongong Offshore Wind Project (proposed),234.76484007803919,60.82359282673814,124.66421857927092,84629998.92350668,272.78001264627454,79617760.86428295,5012238.05922373
Shoalhaven Solar Farm ,226.0002996878902,59.77594545677566,141.82674492204077,95286061.7643032,307.126709957464,82435175.11436082,12850886.649942389
