Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($)
Gippsland offshore wind,371.7549081571878,64.31311868973866,106.73843580950701,96048408.19957674,309.5839103934786,94207848.21319659,1840559.9863801412
Hazelwood North Solar Farm,252.24784683762616,103.46171546511745,127.87675941396034,99728784.6613681,321.44652590287865,95085260.08869311,4643524.572674996
Glenrowan solar farm,301.6916699140535,89.91864958219146,134.50666894856707,112815491.65688562,363.62769268939763,99322305.06105463,13493186.595830994
Hawkesdale wind farm,353.192134078346,64.10967065295311,128.13009859482392,106825578.92372046,344.3209634930555,97033061.81993711,9792517.103783352
Mortlake Energy Hub,374.1227625237893,42.29203769299511,161.75759057701674,106926750.63664065,344.6470608755541,101840774.11719762,5085976.519443034
Golden Plains Wind Farm,321.93093514502397,57.55454302099303,108.64935204731034,89300728.95444806,287.83474280241114,86161346.14107752,3139382.8133705356
Elaine Solar Farm,287.8934798964767,57.97954968754263,106.18622692078175,83471469.24964125,269.0458315862732,81187630.33735262,2283838.912288641
Warracknabeal Energy Park (proposed),274.03372884857697,46.53545535251019,91.15692591228914,85999277.72632717,277.1934817931577,72299248.15806496,13700029.568262199
Murra Warra Solar Farm (proposed),280.6497794207163,51.20102505860343,90.40787976011315,84682719.83058892,272.9499430478289,74337027.64750054,10345692.183088379
Gannawarra Solar Farm,250.6274234951857,33.392430694718854,96.71582590865425,94752915.26703005,305.4082683868817,66789843.947239384,27963071.319790665
