Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,Diff between ,,,,LCOE,,
Gippsland offshore wind,307.1980833,52.37865956,163.5826365,108138953.8,348.5542427,96405245.29,11733708.49,,330.5191095,49.35221384,155.0583585,108166016.8,348.6414723,96475780.98,11690235.81,,-23.32102618,3.026445721,8.524277989,-27063.00408,-0.087229667,-70535.68724,43472.68316
Hazelwood North Solar Farm,306.114191,69.38558947,117.1089124,101945780.8,328.5923635,89616321.04,12329459.73,,306.1141954,69.38557429,117.108913,101945779.8,328.5923604,89616317.38,12329462.44,,-4.40151E-06,1.51787E-05,-6.59178E-07,0.945012003,3.04597E-06,3.657588601,-2.712576499
Glenrowan solar farm,464.093971,96.86361514,140.6097402,131589152.7,424.1390901,124247897.6,7341255.096,,462.8962604,96.34396211,140.0280394,131571050.7,424.0807437,123794529.7,7776521.017,,1.19771061,0.519653034,0.581700784,18101.97477,0.058346413,453367.8956,-435265.9208
Hawkesdale wind farm,258.0271119,68.71627328,138.6794462,94838341.33,305.6836143,88462134.76,6376206.574,,250.7328668,70.15295235,147.3384941,94812070.9,305.5989392,90075175.46,4736895.431,,7.294245167,-1.436679069,-8.659047925,26270.43865,0.084675064,-1613040.704,1639311.143
Mortlake Energy Hub,304.65728,60.2210104,139.4709897,93221268,300.471452,92337853.6,883414.5075,,309.9518648,58.51249133,138.1668419,93197735,300.3956003,92214901.7,982833.2953,,-5.294584838,1.708519072,1.304147845,23533.00068,0.075851735,122951.8992,-99418.78781
Golden Plains Wind Farm,288.5346678,37.15589427,104.7708052,80390143.38,259.1140802,74880950.51,5509192.868,,283.6903549,37.50825001,110.6712092,80286352.47,258.7795406,75815000.17,4471352.297,,4.844312922,-0.35235574,-5.90040391,103790.9139,0.33453961,-934049.6576,1037840.572
Elaine Solar Farm,307.8085776,35.62330117,100.5859615,84081266.27,271.0113337,75932675.22,8148591.044,,307.8090464,35.623417,100.5851036,84081235.02,271.0112329,75932556.83,8148678.185,,-0.000468798,-0.000115837,0.000857911,31.2487517,0.000100721,118.3894685,-87.14071684
Warracknabeal Energy Park (proposed),212.1029689,55.6140266,138.4305587,80763861.85,260.3186522,78551682.49,2212179.37,,212.1028468,55.61406909,138.4305447,80763860.39,260.3186475,78551675.23,2212185.156,,0.000122084,-4.24877E-05,1.40321E-05,1.469384402,4.73613E-06,7.255685195,-5.78630079
Murra Warra Solar Farm (proposed),233.9533087,49.28564539,135.6251627,81084288.8,261.3514546,78895727.46,2188561.339,,233.9783137,49.27722748,135.6255471,81083141.9,261.3477579,78896675.77,2186466.137,,-0.025005057,0.008417915,-0.000384393,1146.891394,0.003696668,-948.3106272,2095.202021
Gannawarra Solar Farm,337.9820802,39.70556729,106.3528696,92658492.15,298.657509,82527538.61,10130953.55,,317.8223105,43.9839311,106.2845437,92562383.23,298.34773,81095776.93,11466606.3,,20.1597697,-4.27836381,0.068325985,96108.92,0.309778952,1431761.677,-1335652.757
Meering West Wind Farm,319.6589124,41.6738232,120.1328228,93249728.82,300.5631872,84117784.22,9131944.598,,293.0216696,47.2009788,120.0319854,93228975.24,300.4962941,82186855.43,11042119.81,,26.63724288,-5.5271556,0.10083738,20753.57782,0.066893079,1930928.789,-1910175.211
Coopers Gap ,274.8165527,33.20747166,97.87216542,98203779.73,316.5311192,70210416.45,27993363.28,,275.7023599,32.42571972,97.63995907,98197983.43,316.5124365,70042548.65,28155434.78,,-0.885807192,0.781751937,0.232206358,5796.295648,0.018682661,167867.7989,-162071.5032
Dulacca Wind Farm,330.1576754,22.34248278,93.51718091,94375567.39,304.191998,73264197.29,21111370.1,,329.8114939,22.65260834,92.10094685,94363753.68,304.15392,72955707.51,21408046.17,,0.346181439,-0.31012556,1.416234062,11813.7182,0.03807806,308489.7855,-296676.0673
Mount Emerald Wind Farm,321.8992426,6.965522751,72.08338239,65913197.88,212.4518868,62377604.17,3535593.713,,324.0096579,6.756030852,71.36397803,65921237.87,212.4778013,62415610.17,3505627.697,,-2.11041529,0.209491898,0.719404357,-8039.987088,-0.025914543,-38006.00309,29966.016
Kaban,349.067913,4.631475338,75.79458259,69545299.75,224.1589033,66203920.52,3341379.237,,360.9840158,0,76.73658558,69954863.32,225.4790115,66665107.53,3289755.788,,-11.91610272,4.631475338,-0.942002995,-409563.5641,-1.320108184,-461187.0126,51623.44848
Sample data,197.8216522,108.2957755,87.23843312,88194473.01,284.2690508,79194049.08,9000423.927,,199.0610855,108.1247916,86.23208524,88191661.6,284.259989,79057012.66,9134648.938,,-1.239433271,0.170983893,1.00634788,2811.406883,0.009061747,137036.418,-134225.0111
Kennedy Energy Park Stage 1,274.5238078,49.15218457,66.22280117,73736687.08,237.6686127,66910831.12,6825855.966,,272.9753696,49.46630462,67.99000905,73717737.96,237.6075357,67238224.47,6479513.491,,1.548438201,-0.314120048,-1.76720788,18949.12016,0.061076938,-327393.3544,346342.4745
Western Downs Green Power Hub,314.6519475,26.88776551,97.22380328,95333952.58,307.281072,73463300.01,21870652.57,,314.4742709,27.02121568,95.01716419,95316429.69,307.2245921,72928860.66,22387569.02,,0.177676604,-0.133450169,2.206639088,17522.89479,0.056479919,534439.3447,-516916.4499
Daydream Solar Farm,265.1413893,46.73469008,74.11943772,76102577.14,245.2943663,66941238.73,9161338.41,,264.4331254,46.42758131,74.73194577,76101781.59,245.291802,66911484.15,9190297.435,,0.708263869,0.307108777,-0.612508047,795.5523469,0.00256423,29754.5776,-28959.02525
Kidston Solar Project KS1,311.2138737,19.63744181,68.70191621,66134061,213.1637744,63802384.3,2331676.696,,311.2149128,19.6371023,68.70395669,66134023.34,213.163653,63802931.06,2331092.288,,-0.001039118,0.000339507,-0.00204048,37.6504812,0.000121355,-546.758183,584.4086643
Emerald Solar Farm,270.9501356,65.76842775,104.4456415,89176391.02,287.4339759,80780913.24,8395477.774,,301.953766,62.17455303,93.13707283,89059763.35,287.0580608,81005193.83,8054569.515,,-31.00363038,3.593874725,11.30856866,116627.669,0.37591513,-224280.5908,340908.2598
Ross River Solar Farm ,278.8359337,46.74843941,65.62640067,72928435.92,235.0634518,66633187.49,6295248.438,,278.782987,46.71170816,65.29789834,72926617.69,235.0575913,66533723.06,6392894.638,,0.052946654,0.036731251,0.328502329,1818.23128,0.005860536,99464.43139,-97646.20011
Childers Solar Farm,386.3232616,31.27066066,84.9774843,109337622.5,352.4178,81123737.73,28213884.72,,386.3205975,31.27122694,84.97696841,109337615.6,352.4177778,81123422.52,28214193.04,,0.002664074,-0.000566278,0.000515892,6.897515997,2.22321E-05,315.2167266,-308.3192106
Haughton Solar Farm,258.8114364,61.39153033,66.84720276,71661435.66,230.9796476,68545999.96,3115435.695,,258.0255495,61.1492599,64.12181135,71616126.85,230.8336079,67693260.44,3922866.41,,0.785886884,0.242270437,2.725391411,45308.80398,0.146039658,852739.5184,-807430.7144
Cattle Hill Wind Farm ,287.8432186,125.4036723,106.7618986,112930266.7,363.9976364,100876303.9,12053962.79,,287.862874,125.2731556,106.7890171,112930576.3,363.9986345,100847801.1,12082775.23,,-0.019655322,0.130516741,-0.027118494,-309.666556,-0.000998119,28502.77827,-28812.44482
Granville Harbour Wind Farm,337.8843149,57.02944073,122.2972444,102375915.7,329.9787776,91510480.26,10865435.48,,337.8842092,57.0305391,122.296357,102375793.8,329.9783846,91510563.76,10865230.05,,0.00010571,-0.001098372,0.000887427,121.928603,0.000393001,-83.5033236,205.431927
"Huxley Wind Farm, King Island",395.2886936,60.65324814,93.90898051,99785761.55,321.6301742,93050187.09,6735574.46,,395.195433,60.66082102,93.95461639,99784339.33,321.6255901,93051468.2,6732871.124,,0.093260629,-0.007572884,-0.04563588,1422.227581,0.004584134,-1281.108636,2703.336217
Musselroe Wind Farm,305.9451943,65.77614256,109.5728157,106211483.3,342.3416061,86669932.22,19541551.06,,304.8795941,65.83361882,106.7574041,106111220.8,342.0184394,85844844.64,20266376.17,,1.065600222,-0.057476267,2.815411545,100262.4676,0.323166696,825087.5769,-724825.1093
Studland Bay Wind Farm ,290.1317954,71.11844075,94.26936958,84207921.54,271.4195698,82323698.98,1884222.562,,298.4523189,69.34151466,94.61713486,84184824.47,271.3451232,82991016.29,1193808.175,,-8.32052349,1.776926086,-0.347765279,23097.07217,0.074446647,-667317.3149,690414.3871
Sample data,328.852133,32.2785527,133.6567753,107265277.1,345.7382017,85973408.5,21291868.57,,348.7667577,27.245889,153.1699777,107227220.1,345.6155363,91998400.01,15228820.11,,-19.91462465,5.032663696,-19.51320238,38056.94724,0.122665422,-6024991.514,6063048.462
Northern Midland Solar Farm,438.3444016,83.94164644,114.1180848,113792107.8,366.7755286,110509271.1,3282839.463,,429.4185542,89.36046768,107.6937897,113713819.4,366.523189,109304480.4,4409338.999,,8.925847345,-5.418821236,6.424295112,78288.37123,0.252339633,1204790.739,-1126499.535
