Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Gippsland offshore wind,316.0927456,19.78877282,135.6046272,97672165.75,314.8176172,81156208.29,16515957.45,,316.1001987,19.78736133,135.6053955,97672134.75,314.8175173,81156972.08,16515162.67,,0.007453101,-0.001411493,0.000768246,-31.001269,-9.99235E-05,763.7854817,-794.7867507
Hazelwood North Solar Farm,316.5964724,56.43550943,96.83977841,95136395.55,306.6443047,82192112.86,12944282.69,,316.2690868,55.54475033,97.83022685,95090037.87,306.4948844,82137433.05,12952604.82,,-0.327385574,-0.890759099,0.990448436,-46357.67718,-0.149420394,-54679.80395,8322.126772
Glenrowan solar farm,301.930662,105.3641732,198.7967727,129201677.6,416.4437633,119849165.7,9352511.879,,375.9966197,95.57252689,141.3858414,127968742.5,412.4697582,112462889.1,15505853.42,,74.0659577,-9.791646344,-57.41093126,-1232935.097,-3.974005149,-7386276.637,6153341.539
Hawkesdale wind farm,359.4971772,46.7021553,103.3502233,107323158.7,345.9247662,86642305.99,20680852.72,,361.3265443,46.64578407,101.9882561,107319135.2,345.9117977,86527615.41,20791519.83,,1.829367119,-0.05637123,-1.361967124,-4023.474053,-0.01296849,-114690.5828,110667.1088
Mortlake Energy Hub,317.2810447,54.48782219,94.81580282,98894803.14,318.7584308,81213257.93,17681549.04,,320.7582551,53.71771742,90.53696437,98870586.32,318.6803749,80381973.26,18488613.06,,3.477210343,-0.770104772,-4.278838444,-24216.82128,-0.07805583,-831284.6698,807064.0236
Golden Plains Wind Farm,233.4630316,48.59022552,131.8796395,82563884.74,266.1204988,77696376.19,4867508.556,,242.3826162,42.53146559,132.4657005,82513029.55,265.9565819,77260305.5,5252724.05,,8.919584596,-6.058759924,0.586060973,-50855.19482,-0.163916825,-436070.6894,385215.4946
Elaine Solar Farm,200.5222606,73.38429024,129.3189412,81235249.95,261.8380337,79909427.7,1325822.252,,205.2512294,64.9474625,124.1504065,81029352.27,261.1743828,76798151.09,4231201.175,,4.728968881,-8.436827736,-5.168534692,-205897.686,-0.663650881,-3111276.609,2905378.923
Warracknabeal Energy Park (proposed),269.7093582,54.53103995,101.2321499,88809892.37,286.2526749,76558255.67,12251636.7,,270.331155,54.39235123,100.6975431,88793423.86,286.1995934,76466754.49,12326669.37,,0.621796853,-0.138688714,-0.534606801,-16468.50993,-0.053081418,-91501.18009,75032.67016
Murra Warra Solar Farm (proposed),207.9848718,53.75697196,118.3253743,89269200.31,287.7331195,72461986.85,16807213.46,,247.5803349,38.06607949,124.619832,89243851.39,287.6514146,74695426.13,14548425.26,,39.59546314,-15.69089247,6.294457776,-25348.9253,-0.081704836,2233439.271,-2258788.196
Gannawarra Solar Farm,227.1596335,71.73495178,114.4816403,85549652.31,275.7442459,79243374.7,6306277.609,,227.1983384,71.73375512,114.4740336,85548388.35,275.740172,79246230.76,6302157.591,,0.038704961,-0.001196662,-0.007606725,-1263.954375,-0.004073987,2856.063776,-4120.018152
Meering West Wind Farm,223.2629985,73.218499,114.4372793,84488917.89,272.3252793,79149272.26,5339645.632,,223.2594296,73.19265193,114.4625097,84488733.16,272.3246838,79147592.53,5341140.628,,-0.003568891,-0.025847071,0.02523038,-184.7294166,-0.000595421,-1679.725112,1494.995696
Coopers Gap ,244.1507215,38.22416832,90.31868922,69093966.3,222.7041621,65744169.89,3349796.412,,243.4073875,38.14237429,91.27745465,69087883.71,222.6845567,65861395.76,3226487.948,,-0.743333935,-0.081794036,0.95876543,-6082.592805,-0.019605456,117225.8716,-123308.4644
Dulacca Wind Farm,252.7319808,39.24091463,82.66135017,68741655.02,221.5685899,65261657.43,3479997.588,,253.1986911,39.21525793,82.42593476,68740730.44,221.5656098,65257042.87,3483687.57,,0.466710338,-0.025656694,-0.235415411,-924.5791447,-0.00298011,-4614.560861,3689.981716
Mount Emerald Wind Farm,343.1273397,4.061037353,65.54512187,64583605.84,208.1663363,62702602.58,1881003.257,,336.0155445,5.256480951,59.16376633,65738346.65,211.8883051,60522742.17,5215604.486,,-7.111795138,1.195443597,-6.381355537,1154740.811,3.721968771,-2179860.417,3334601.229
Kaban,344.2471484,0,70.01154056,64605201.1,208.2359423,62785175.34,1820025.76,,344.3369536,0.002954599,69.55625191,64608149.18,208.2454446,62684436.11,1923713.072,,0.08980525,0.002954599,-0.455288645,2948.079572,0.009502271,-100739.2321,103687.3116
Sample data,91.60671391,91.59973122,305.3356315,114696125.4,369.6893646,114696125.4,0,,243.7563256,27.97400294,90.32054495,67259769.56,216.7921662,62720305.27,4539464.285,,152.1496117,-63.62572828,-215.0150865,-47436355.82,-152.8971984,-51975820.1,4539464.285
Kennedy Energy Park Stage 1,314.4500111,6.655174365,61.80187036,60586330.37,195.2822897,58745006.36,1841324.011,,314.9863094,6.433773355,63.45843579,60558691.96,195.1932054,59164139.68,1394552.279,,0.536298354,-0.22140101,1.656565427,-27638.41128,-0.089084323,419133.3203,-446771.7316
