Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($)
Gippsland offshore wind,272.8689488,38.17548002,139.280803,83403205.25,268.8258026,81710554.99,1692650.258
Hazelwood North Solar Farm,271.2822283,53.63962373,101.668945,87139152.32,280.8675337,76615751.93,10523400.39
Glenrowan solar farm,325.2177714,67.48311802,105.3884008,98846789.35,318.6036724,88661009.43,10185779.92
Hawkesdale wind farm,267.2008571,67.47265715,121.8322788,87217521.73,281.1201345,85112756.11,2104765.621
Mortlake Energy Hub,254.1226941,71.82945811,110.2417229,91273220.51,294.1924916,81766006.63,9507213.884
Golden Plains Wind Farm,236.7059169,84.45301399,95.33759643,86734413.14,279.5629755,79419505.99,7314907.144
Elaine Solar Farm,243.5599291,74.46862032,85.45474809,84504553.28,272.3756753,74964900.95,9539652.327
Warracknabeal Energy Park (proposed),295.0980641,33.7699131,91.43968958,83120388.71,267.9142263,71442438.18,11677950.53
Murra Warra Solar Farm (proposed),285.1594061,49.18049766,90.85835994,84942924.15,273.7886355,74457331.94,10485592.21
Gannawarra Solar Farm,330.6016033,25.86288011,99.93507867,87242296.72,281.1999894,75942402.33,11299894.39
Meering West Wind Farm,342.7662358,25.34384866,105.1092898,88031930.53,283.7451427,78683225.22,9348705.303
Coopers Gap ,236.7446119,14.67448644,109.8580645,71855886.1,231.6064016,62807434.69,9048451.418
Dulacca Wind Farm,282.267479,24.25995777,93.30593676,77033698.87,248.2955644,67459629.76,9574069.105
Mount Emerald Wind Farm,304.171214,22.1496128,70.42411449,73555775.85,237.0854983,64032277.76,9523498.083
Kaban,301.0046361,23.96367206,70.05384932,66659017.46,214.8558178,64048987.92,2610029.539
Sample data,234.4413762,20.51893044,106.659805,65758973.65,211.9547902,63402075.62,2356898.038
Kennedy Energy Park Stage 1,187.2546679,31.81221656,72.80682167,56637176.72,182.5533496,52027915.94,4609260.781
Western Downs Green Power Hub,279.1105701,15.06727468,108.4007195,75123049.17,242.1371448,68138609.95,6984439.226
Daydream Solar Farm,238.173088,27.47200267,78.58177731,62753424.24,202.267282,58914873.16,3838551.085
Kidston Solar Project KS1,208.1114771,24.03225495,75.16243689,54195481.62,174.6832606,53105911.33,1089570.285
Emerald Solar Farm,231.4122336,15.03318149,83.36887276,57332790.12,184.7954557,55609895.65,1722894.476
Ross River Solar Farm ,245.3085142,36.71439452,70.12925336,62632947.15,201.8789594,60429117.6,2203829.547
Childers Solar Farm,256.3858335,15.20069106,96.79881826,67737228.98,218.3311168,62293699.97,5443529.012
Haughton Solar Farm,233.0770833,33.97290274,73.07664106,60941259.45,196.4262996,58757312.41,2183947.04
Cattle Hill Wind Farm ,249.4542812,37.68487267,139.0136654,80275998.45,258.7461674,78417614.25,1858384.195
Granville Harbour Wind Farm,234.0680234,77.34619857,143.8797249,103624678.8,334.0037996,89104371.56,14520307.26
"Huxley Wind Farm, King Island",258.1779414,46.01977111,138.2517277,86299911.51,278.1624867,81793835.71,4506075.8
Musselroe Wind Farm,225.7650845,33.58355254,139.7440153,77375761.36,249.3981027,74289967.97,3085793.387
Studland Bay Wind Farm ,283.8842291,41.99234466,100.0157796,79306056.32,255.6198431,74486288.99,4819767.327
Sample data,224.0821555,45.36722682,118.6727207,80437479.43,259.2666541,72235927.29,8201552.138
Northern Midland Solar Farm,302.1717377,36.27386734,114.071311,85266023.04,274.8300501,78738430.12,6527592.92
Weasel Solar Farm ,248.1037097,50.20571644,101.5673652,78224398.72,252.1334367,72541652.96,5682745.764
Bell Bay Solar Farm,279.6676292,36.60221181,129.2186392,85164396.45,274.5024865,79643076.34,5521320.109
King Island Solar Farm  ,258.1779414,46.01977111,138.2517277,86299911.51,278.1624867,81793835.71,4506075.8
Woakwine Wind farm,259.0407592,80.04808559,118.9206856,90478067.06,291.6295473,86959236.23,3518830.826
Robertstown Solar Project,283.2985532,23.53426007,75.04090372,65987789.49,212.692311,62834677.24,3153112.248
Goyder South Hybrid Renewable Power Station,281.3810133,22.7029309,77.55020749,63949943.79,206.1239123,62966168.67,983775.1244
Cleve Wind Farm,275.2479192,37.15443137,83.66402799,70557759.54,227.4222709,67872149.56,2685609.974
Yoorndoo Ilga Solar,216.5567109,40.48964153,77.22231312,62405831.77,201.1469195,59503837.65,2901994.121
Bodangora Wind Farm ,258.0874506,31.02506887,123.7230866,76542273.86,246.7115999,73814216.73,2728057.136
Sapphire Wind Farm,214.426303,42.59212494,96.19003165,66954465.34,215.8081075,64558292.03,2396173.311
Metz Solar Farm ,231.4755572,47.63738662,107.4390355,74410760.61,239.8412912,71069456.03,3341304.58
Bullawah Wind Farm,305.5767088,36.42005821,119.1368664,89780018.29,289.3795916,80491286.67,9288731.623
Sunraysia Solar Farm,289.7845276,40.60711087,97.55535706,87029883.42,280.5153374,74248807.69,12781075.73
Hunter Coast Offshore Wind Project (proposed) ,319.2037724,29.16212634,100.2530336,87623525.28,282.428768,75477046.65,12146478.63
Muswellbrook Solar Farm ,375.142729,22.33743442,114.5546956,99549678.18,320.8692286,84429076.26,15120601.91
Wollongong Offshore Wind Project (proposed),234.7648401,60.82359283,124.6642186,84629998.92,272.7800126,79617760.86,5012238.059
Shoalhaven Solar Farm ,226.0002997,59.77594546,141.8267449,95286061.76,307.12671,82435175.11,12850886.65
