base_year,location,data_year,total_deficit_mwh,deficit_hours,total_gen_mwh,avg_storage_mwh
2019,Gippsland offshore wind,2019,84.63,4,641502.02,531.14
2019,Gippsland offshore wind,2020,1285.04,27,603699.95,511.14
2019,Gippsland offshore wind,2021,1064.45,18,630890.62,512.4
2019,Gippsland offshore wind,2022,2709.96,51,607419.23,509.56
2019,Gippsland offshore wind,2023,972.19,18,622985.14,528.51
2019,Gippsland offshore wind,2024,2155.89,51,630561.01,511.71
2019,Hazelwood North Solar Farm,2019,526.17,11,704122.02,389.1
2019,Hazelwood North Solar Farm,2020,1956.29,46,661876.59,377.94
2019,Hazelwood North Solar Farm,2021,1538.05,33,679575.4,384.66
2019,Hazelwood North Solar Farm,2022,2185.0,43,645734.88,376.39
2019,Hazelwood North Solar Farm,2023,1046.27,20,675206.06,385.99
2019,Hazelwood North Solar Farm,2024,1397.17,32,690292.98,381.55
2019,Glenrowan solar farm,2019,509.29,11,784126.0,404.49
2019,Glenrowan solar farm,2020,1682.53,32,753570.79,396.32
2019,Glenrowan solar farm,2021,4793.01,103,747104.39,384.77
2019,Glenrowan solar farm,2022,4700.71,86,712976.01,384.18
2019,Glenrowan solar farm,2023,3174.33,58,742851.08,390.14
2019,Glenrowan solar farm,2024,1509.03,31,787264.16,396.98
2019,Hawkesdale wind farm,2019,105.24,4,749484.49,466.78
2019,Hawkesdale wind farm,2020,1802.11,38,723853.82,459.08
2019,Hawkesdale wind farm,2021,149.71,2,745193.7,470.12
2019,Hawkesdale wind farm,2022,512.77,11,712854.83,464.4
2019,Hawkesdale wind farm,2023,1294.85,21,743931.95,467.31
2019,Hawkesdale wind farm,2024,1057.67,29,729441.98,463.53
2019,Mortlake Energy Hub,2019,475.36,15,731734.68,421.63
2019,Mortlake Energy Hub,2020,2127.11,46,701919.12,414.78
2019,Mortlake Energy Hub,2021,374.28,8,722029.05,423.16
2019,Mortlake Energy Hub,2022,905.19,15,689232.44,416.6
