Project Name,Lat,Lon,State,REZ
Gippsland offshore wind,-38.4635,147.2854,VIC,V8 Gippsland Offshore
Hazelwood North Solar Farm,-38.2218,146.4749,VIC,
Glenrowan solar farm,-36.4735,146.1764,VIC,
Hawkesdale wind farm,-38.148,142.3608,VIC,V5 South West
Mortlake Energy Hub,-38.0475,142.7604,VIC,V5 South West
Golden Plains Wind Farm,-37.9167,143.754,VIC,V2 Central Highlands VIC
Elaine Solar Farm,-37.7388,143.9879,VIC,V2 Central Highlands VIC
Warracknabeal Energy Park (proposed),-36.1939,142.3563,VIC,V3 Western
Warracknabeal Energy Park (proposed),-36.1939,142.3563,VIC,V4 Western
Murra Warra Solar Farm (proposed),-36.4443,142.3389,VIC,V4 Western
Gannawarra Solar Farm,-35.7351,143.78,VIC,V1 North West VIC
Meering West Wind Farm,-35.8712,143.7132,VIC,V1 North West VIC
Coopers Gap ,-26.7237,151.4699,QLD,Q8 Darling Downs
Dulacca Wind Farm,-26.654,149.8483,QLD,Q8 Darling Downs
Mount Emerald Wind Farm,-17.1323,145.3799,QLD,Q1 Far North QLD
Kaban,-17.5605,145.4133,QLD,Q1 Far North QLD
Sample data,-24.0842,150.8041,QLD,Q6 Fitzroy
Kennedy Energy Park Stage 1,-20.8752,144.4212,QLD,Q2 North Qld Clean Energy Hub
Western Downs Green Power Hub,-26.9549,150.676,QLD,Q8 Darling Downs
Daydream Solar Farm,-20.4934,147.7705,QLD,Q10 Collinsville
Kidston Solar Project KS1,-18.8896,144.1428,QLD,Q2 North Qld Clean Energy Hub
Emerald Solar Farm,-23.5091,148.1299,QLD,
Ross River Solar Farm ,-19.4231,146.7206,QLD,Q3 Northern Qld
Childers Solar Farm,-25.3001,152.4048,QLD,Q7 Wide Bay
Haughton Solar Farm,-19.7247,147.0429,QLD,Q3 Northern Qld
Cattle Hill Wind Farm ,-42.1598,146.7348,TAS,T3 Central Highlands
Granville Harbour Wind Farm,-41.7818,145.0453,TAS,T2 North-West Tasmania
"Huxley Wind Farm, King Island",-39.9411,143.8924,TAS,
Musselroe Wind Farm,-40.7802,148.0105,TAS,T1 North-East Tasmania
Studland Bay Wind Farm ,-40.7847,144.7295,TAS,T2 North-West Tasmania
Sample data,-40.5919,146.9044,TAS,
Northern Midland Solar Farm,-41.8064,147.098,TAS,T3 Central Highlands
Weasel Solar Farm ,-42.2935,146.9851,TAS,T3 Central Highlands
Bell Bay Solar Farm,-41.1123,146.8407,TAS,T1 North-East Tasmania
King Island Solar Farm  ,-39.9411,143.8924,TAS,
Woakwine Wind farm,-37.3843,140.0686,SA,S1 South East SA
Robertstown Solar Project,-33.9839,139.059,SA,S3 Mid-North SA
Goyder South Hybrid Renewable Power Station,-33.6821,138.9333,SA,S3 Mid-North SA
Cleve Wind Farm,-33.6186,136.3646,SA,S7 Eastern Eyre Peninsula
Yoorndoo Ilga Solar,-32.9203,137.5927,SA,S5 Northern SA
Bodangora Wind Farm ,-32.4053,149.0407,NSW,N3 Central-West Orana
Sapphire Wind Farm,-29.6976,151.4099,NSW,N2 New England
Metz Solar Farm ,-30.5147,151.8543,NSW,N2 New England
Bullawah Wind Farm,-34.8518,145.1798,NSW,N5 South West NSW
Sunraysia Solar Farm,-34.8071,143.4897,NSW,N5 South West NSW
Hunter Coast Offshore Wind Project (proposed) ,-33.0,152.0,NSW,
Muswellbrook Solar Farm ,-32.2634,150.9437,NSW,N9 Hunter-Central Coast
Wollongong Offshore Wind Project (proposed),-34.5,151.2,NSW,N11 Illawarra Coast
Shoalhaven Solar Farm ,-34.937,150.5894,NSW,
